City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Salisbury MD,69,18,55,8,19,23,31,16,24,2005
Wilkes Barre-Scranton PA,64,20,50,15,23,38,32,29,21,2005
Terre Haute IN,62,21,39,11,32,28,18,18,20,2005
Lafayette IN,72,35,40,9,11,46,17,38,14,2005
Alpena MI,43,0,0,100,0,0,0,0,100,2005
Charlottesville VA,63,17,45,11,18,29,31,16,22,2005
South Bend-Elkhart IN,59,12,45,12,19,26,22,14,17,2005
Gainesville FL,78,34,53,11,37,37,38,28,29,2005
Zanesville OH,68,48,32,4,21,22,0,23,21,2005
Parkersburg WV,63,0,55,14,39,0,0,100,31,2005
Clarksburg-Weston WV,76,0,64,9,22,23,25,18,23,2005
Corpus Christi TX,56,15,47,11,30,23,21,27,24,2005
Chicago IL,64,15,39,11,24,24,24,16,21,2005
Joplin MO-Pittsburg KS,48,12,60,8,22,22,33,24,15,2005
Columbia-Jefferson City MO,76,27,43,17,26,29,46,38,27,2005
Topeka KS,59,12,25,10,21,19,17,26,22,2005
Dothan AL,64,26,88,11,15,31,57,13,17,2005
St. Louis MO,64,12,46,11,28,26,27,17,23,2005
Rockford IL,58,17,49,13,15,18,0,29,18,2005
Rochester MN-Mason City IA-Austin MN,98,46,68,18,21,40,40,32,31,2005
Shreveport LA,52,15,30,9,30,31,25,13,20,2005
Minneapolis-St. Paul MN,64,15,46,12,19,27,21,21,22,2005
Kansas City MO,66,18,51,10,24,26,28,19,23,2005
Milwaukee WI,65,17,44,12,22,25,28,17,23,2005
Houston TX,68,17,45,9,21,26,26,16,21,2005
Springfield MO,59,15,39,13,19,19,17,22,20,2005
New Orleans LA,57,23,43,10,25,28,16,17,20,2005
Dallas-Ft. Worth TX,57,15,41,9,27,25,24,13,21,2005
Sioux City IA,55,15,45,16,29,21,31,28,24,2005
Waco-Temple-Bryan TX,54,15,37,12,15,32,22,19,21,2005
Victoria TX,70,0,68,14,100,76,0,0,26,2005
Wichita Falls TX & Lawton OK,61,55,51,8,42,30,37,27,20,2005
Monroe LA-El Dorado AR,84,28,32,18,25,31,0,21,34,2005
Birmingham AL,71,21,54,11,34,24,29,22,26,2005
Ottumwa IA-Kirksville MO,63,38,62,10,26,27,43,37,35,2005
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68,27,40,16,31,23,18,25,27,2005
Odessa-Midland TX,49,0,45,16,0,25,37,24,27,2005
Amarillo TX,49,17,37,11,31,53,17,15,33,2005
Austin TX,53,15,35,10,24,28,30,15,19,2005
Harlingen-Weslaco-Brownsville-McAllen TX,50,25,30,12,27,20,27,29,30,2005
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76,23,45,13,18,33,25,32,23,2005
St. Joseph MO,57,69,31,10,17,29,25,28,19,2005
Jackson TN,56,17,35,12,27,15,23,16,16,2005
Memphis TN,67,20,38,9,29,25,32,21,27,2005
San Antonio TX,60,12,34,8,28,28,28,14,25,2005
Lafayette LA,43,19,37,11,17,17,19,14,14,2005
Lake Charles LA,43,81,100,9,0,74,0,0,36,2005
Alexandria LA,53,0,57,11,0,49,72,26,20,2005
Greenwood-Greenville MS,74,100,81,9,0,90,0,73,44,2005
Champaign & Springfield-Decatur IL,71,19,47,14,17,33,30,26,26,2005
Evansville IN,61,22,41,12,37,22,21,23,26,2005
Oklahoma City OK,60,16,41,10,24,29,31,16,24,2005
Lubbock TX,53,13,40,14,29,40,21,22,22,2005
Omaha NE,63,15,47,11,27,31,23,21,25,2005
Panama City FL,48,14,56,6,15,15,29,4,15,2005
Sherman TX-Ada OK,55,24,38,14,58,27,0,26,21,2005
Green Bay-Appleton WI,56,7,40,14,18,24,17,17,18,2005
Nashville TN,64,16,44,11,27,33,30,25,26,2005
San Angelo TX,68,21,45,7,25,57,56,25,26,2005
Abilene-Sweetwater TX,51,29,36,10,57,23,30,29,21,2005
Madison WI,69,11,45,12,18,34,23,14,20,2005
Ft. Smith-Fayetteville-Springdale-Rogers AR,62,11,41,12,21,25,19,27,23,2005
Tulsa OK,57,10,41,9,34,25,20,16,24,2005
Columbus-Tupelo-West Point MS,72,19,28,9,10,27,31,31,19,2005
Peoria-Bloomington IL,69,17,54,17,18,32,14,28,24,2005
Duluth MN-Superior WI,66,12,40,15,20,28,28,31,21,2005
Wichita-Hutchinson KS,60,12,49,13,21,32,23,23,21,2005
Des Moines-Ames IA,65,8,43,11,19,28,20,17,23,2005
Davenport IA-Rock Island-Moline IL,63,14,48,14,24,26,37,20,25,2005
Mobile AL-Pensacola (Ft. Walton Beach) FL,54,15,50,10,29,24,28,9,19,2005
Minot-Bismarck-Dickinson(Williston) ND,64,23,45,15,15,32,43,26,25,2005
Huntsville-Decatur (Florence) AL,60,14,46,9,26,26,11,16,23,2005
Beaumont-Port Arthur TX,52,17,39,12,20,31,28,8,28,2005
Little Rock-Pine Bluff AR,69,19,41,13,25,21,16,17,23,2005
Montgomery (Selma) AL,66,19,47,9,29,27,29,22,23,2005
La Crosse-Eau Claire WI,65,18,45,15,20,31,21,26,20,2005
Wausau-Rhinelander WI,73,16,44,15,30,33,17,28,27,2005
Tyler-Longview(Lufkin & Nacogdoches) TX,64,27,44,9,29,50,33,28,27,2005
Hattiesburg-Laurel MS,63,81,44,15,41,29,31,11,29,2005
Meridian MS,76,74,78,15,0,100,100,35,32,2005
Baton Rouge LA,61,15,39,11,31,26,19,18,19,2005
Quincy IL-Hannibal MO-Keokuk IA,64,20,35,25,14,44,32,35,24,2005
Jackson MS,70,25,53,15,27,22,26,22,29,2005
Lincoln & Hastings-Kearney NE,71,19,47,16,24,30,42,27,24,2005
Fargo-Valley City ND,77,19,48,14,20,35,14,24,27,2005
Sioux Falls(Mitchell) SD,64,22,35,17,22,34,27,28,23,2005
Jonesboro AR,60,25,40,15,44,34,34,30,33,2005
Bowling Green KY,63,28,46,17,20,17,45,35,20,2005
Mankato MN,87,18,47,14,5,36,37,25,24,2005
North Platte NE,78,73,60,13,44,0,0,0,21,2005
Anchorage AK,57,6,47,11,13,27,24,16,23,2005
Honolulu HI,55,8,46,9,19,19,19,21,20,2005
Fairbanks AK,51,21,59,12,12,41,28,13,25,2005
Biloxi-Gulfport MS,49,13,40,10,15,27,40,15,16,2005
