location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
839,52,10,35,7,24,20,23,10,18,2005
541,84,26,44,18,25,32,13,56,29,2005
558,53,18,60,11,38,42,25,13,19,2005
722,71,19,47,16,24,30,42,27,24,2005
693,69,19,41,13,25,21,16,17,23,2005
803,54,11,35,9,20,21,19,16,18,2005
529,71,21,48,10,36,27,20,20,28,2005
651,53,13,40,14,29,40,21,22,22,2005
503,55,25,48,10,29,33,22,23,22,2005
669,69,11,45,12,18,34,23,14,20,2005
737,87,18,47,14,5,36,37,25,24,2005
553,58,12,38,13,20,39,25,22,21,2005
813,61,11,51,12,16,23,23,20,23,2005
640,67,20,38,9,29,25,32,21,27,2005
711,76,74,78,15,0,100,100,35,32,2005
528,54,15,36,8,22,23,21,13,18,2005
617,65,17,44,12,22,25,28,17,23,2005
613,64,15,46,12,19,27,21,21,22,2005
687,64,23,45,15,15,32,43,26,25,2005
762,74,14,48,16,13,43,41,19,29,2005
686,54,15,50,10,29,24,28,9,19,2005
628,84,28,32,18,25,31,0,21,34,2005
828,51,12,45,10,19,35,14,17,20,2005
698,66,19,47,9,29,27,29,22,23,2005
659,64,16,44,11,27,33,30,25,26,2005
622,57,23,43,10,25,28,16,17,20,2005
501,63,15,35,10,22,29,23,15,19,2005
544,53,14,41,9,25,20,18,17,19,2005
740,78,73,60,13,44,0,0,0,21,2005
633,49,0,45,16,0,25,37,24,27,2005
650,60,16,41,10,24,29,31,16,24,2005
652,63,15,47,11,27,31,23,21,25,2005
534,56,13,44,9,24,17,23,14,18,2005
631,63,38,62,10,26,27,43,37,35,2005
632,68,27,40,16,31,23,18,25,27,2005
804,61,10,44,9,21,24,26,21,19,2005
656,48,14,56,6,15,15,29,4,15,2005
597,63,0,55,14,39,0,0,100,31,2005
675,69,17,54,17,18,32,14,28,24,2005
504,73,17,39,12,32,33,24,18,23,2005
753,57,12,40,10,23,24,22,16,21,2005
508,74,17,49,13,27,30,17,20,26,2005
820,56,14,42,10,21,25,21,18,20,2005
500,70,16,38,11,27,36,26,14,23,2005
552,77,59,95,14,51,54,0,28,22,2005
521,63,11,45,12,24,30,26,19,21,2005
717,64,20,35,25,14,44,32,35,24,2005
560,74,16,45,10,26,41,34,22,24,2005
